frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
22,1,[438.0426940917969 1001.7943725585938 936.6195068359375 1435.188720703125],car,[585.5753173828125 1306.338623046875 768.3858642578125 1347.759521484375],0.616241455078125,NA13MRU,0.6160918962865144
23,1,[434.7917785644531 1009.1019287109375 935.3744506835938 1436.8773193359375],car,[577.144775390625 1308.8477783203125 770.62109375 1355.4788818359375],0.7709641456604004,NA13NRU,0.4344537313278949
23,2,[1451.667724609375 837.18994140625 1913.202880859375 1252.953369140625],car,[1617.019287109375 1132.097900390625 1745.853271484375 1177.970947265625],0.7076926231384277,MW51VSV,0.07079729603352136
24,1,[431.68560791015625 1014.7319946289062 934.8661499023438 1437.17236328125],car,[583.123291015625 1317.45068359375 763.845947265625 1361.912109375],0.5471253395080566,NA13NRU,0.7444197674385382
24,2,[1451.93994140625 842.8250122070312 1914.8968505859375 1258.83203125],car,[1615.27978515625 1136.838134765625 1746.62158203125 1181.1181640625],0.48142459988594055,MSV,0.17354659774335698
25,1,[429.6031494140625 1018.1333618164062 935.2197265625 1435.83447265625],car,[579.4472045898438 1322.5709228515625 761.9315795898438 1369.4996337890625],0.7670110464096069,NI13NRU,0.23133712782397073
25,2,[1452.20361328125 846.0873413085938 1915.244873046875 1261.962158203125],car,[1615.15283203125 1140.2552490234375 1749.091796875 1184.7689208984375],0.5788335204124451,MUSISV,0.09539142108975263
26,1,[426.3230285644531 1021.9857788085938 933.9312133789062 1436.1707763671875],car,[576.8726196289062 1333.288818359375 755.2257690429688 1375.215576171875],0.5254819393157959,NA13NRU,0.8412453530822935
26,2,[1452.6005859375 847.799560546875 1917.12060546875 1268.7138671875],car,[1622.0023193359375 1147.06396484375 1746.1170654296875 1187.6640625],0.3796466290950775,MIIYSV,0.11330633308895773
27,1,[424.1785583496094 1029.07275390625 933.027099609375 1436.51904296875],car,[576.967041015625 1338.87548828125 753.0205078125 1379.813232421875],0.7123783230781555,NA13NRU,0.359876829313654
28,1,[422.3065490722656 1033.6539306640625 932.3380737304688 1434.8194580078125],car,[567.8719482421875 1339.57177734375 752.0579833984375 1381.489013671875],0.4044651389122009,NAIJNRIJ,0.33360782356036534
29,2,[1455.06494140625 860.6280517578125 1920.1109619140625 1283.202880859375],car,[1631.623291015625 1159.848876953125 1752.265380859375 1201.899658203125],0.4205261170864105,MSIVSV,0.1579053894393033
29,1,[418.27264404296875 1039.7193603515625 931.6339111328125 1435.2318115234375],car,[581.4874267578125 1347.418701171875 753.8424072265625 1388.696044921875],0.333082377910614,WA13NRU,0.14913196208349835
30,2,[1455.7987060546875 863.5173950195312 1922.7159423828125 1289.4234619140625],car,[1626.185546875 1164.893798828125 1754.8369140625 1209.655029296875],0.6585042476654053,MSISU,0.1284571611403124
31,2,[1455.94384765625 866.172607421875 1923.2646484375 1292.6474609375],car,[1627.3009033203125 1168.533203125 1756.8890380859375 1211.677734375],0.566912055015564,MSIVSV,0.0689601843695995
32,2,[1456.5791015625 872.0506591796875 1925.275390625 1298.726806640625],car,[1631.845458984375 1175.6046142578125 1757.273193359375 1217.0765380859375],0.5230804085731506,ISITSU,0.20018516764516872
33,2,[1456.3170166015625 877.1110229492188 1929.386962890625 1304.703125],car,[1635.130859375 1180.185791015625 1757.4775390625 1222.329833984375],0.7554954290390015,MISU,0.13365159928798676
34,2,[1456.387939453125 878.7620849609375 1930.9229736328125 1307.52197265625],car,[1637.76416015625 1183.2210693359375 1753.55908203125 1224.1221923828125],0.7844301462173462,USU,0.05970210652705981
35,2,[1456.3653564453125 881.6055908203125 1932.379638671875 1313.1422119140625],car,[1638.306396484375 1187.1187744140625 1761.925537109375 1231.8592529296875],0.7472583055496216,LBSW,0.05866214632987976
36,2,[1457.671630859375 886.8416137695312 1934.373046875 1318.4859619140625],car,[1634.612060546875 1193.1220703125 1763.901611328125 1237.27734375],0.8185749650001526,HAZL,0.022785896435379982
37,2,[1458.107421875 890.1284790039062 1935.4920654296875 1322.1097412109375],car,[1632.52685546875 1196.17138671875 1764.833984375 1242.1142578125],0.8071802854537964,DEZL,0.025690264999866486
38,2,[1458.155517578125 894.2288818359375 1939.4239501953125 1328.4559326171875],car,[1632.08056640625 1199.946044921875 1770.203857421875 1246.840576171875],0.6362515687942505,LZW,0.24635232657527098
39,2,[1458.427734375 898.8190307617188 1942.6669921875 1336.028076171875],car,[1639.5369873046875 1208.062744140625 1766.5003662109375 1251.705322265625],0.36058372259140015,None,0.0
40,2,[1458.5313720703125 901.136962890625 1943.8255615234375 1339.99267578125],car,[1640.8955078125 1211.488037109375 1764.97021484375 1252.991943359375],0.5030992031097412,LASU,0.08297645300626755
42,2,[1459.0068359375 908.296875 1950.9444580078125 1351.683837890625],car,[1632.915771484375 1218.827392578125 1773.177978515625 1267.238037109375],0.5313208103179932,CT51FSU,0.11381862707024916
43,2,[1458.981201171875 910.16796875 1952.355712890625 1355.2108154296875],car,[1632.0693359375 1221.9390869140625 1772.86328125 1270.4024658203125],0.5557997822761536,ISIFSU,0.10504652452094947
45,2,[1460.4171142578125 918.5801391601562 1957.2625732421875 1367.16162109375],car,[1644.046142578125 1239.7890625 1777.978759765625 1283.73828125],0.5138770937919617,LTLASV,0.040579424162767545
46,2,[1460.791015625 921.6502685546875 1958.9256591796875 1371.5379638671875],car,[1643.500244140625 1243.6165771484375 1776.749755859375 1285.6788330078125],0.6610791683197021,LNSISV,0.09891434332479296
47,2,[1461.6083984375 924.9185791015625 1961.4482421875 1378.702880859375],car,[1647.280517578125 1248.538818359375 1779.625 1290.936279296875],0.6063757538795471,MWBVSV,0.056654559686391597
48,2,[1462.33251953125 930.5326538085938 1963.2518310546875 1384.3768310546875],car,[1644.982421875 1253.12060546875 1783.09716796875 1298.8349609375],0.7779995799064636,NV51NSU,0.022164655976820234
49,2,[1462.1512451171875 934.0892333984375 1963.3255615234375 1388.61572265625],car,[1645.28076171875 1256.115966796875 1782.749755859375 1302.117431640625],0.7974666953086853,HLEINSU,0.2653292028599346
49,3,[733.2662963867188 776.2568969726562 1152.2030029296875 1090.0413818359375],car,[875.015869140625 978.1072998046875 1009.81494140625 1015.1119384765625],0.26833677291870117,GX15OGJ,0.47071055986859134
50,2,[1463.3150634765625 939.578369140625 1966.04931640625 1395.4400634765625],car,[1641.690673828125 1260.942626953125 1787.650634765625 1310.547119140625],0.6775416135787964,DESISU,0.056861908515306044
51,2,[1463.8623046875 944.0259399414062 1968.0272216796875 1401.4561767578125],car,[1648.1090087890625 1270.76123046875 1790.4483642578125 1315.50439453125],0.2796872556209564,MSIAW,0.06934520491745284
52,2,[1464.4852294921875 947.5531005859375 1968.5732421875 1405.5828857421875],car,[1650.135498046875 1272.09619140625 1787.604248046875 1317.380859375],0.4059298634529114,LESIEU,0.05877298049696641
54,2,[1465.8431396484375 959.2511596679688 1976.5487060546875 1419.3714599609375],car,[1654.148681640625 1285.966552734375 1793.094482421875 1330.644775390625],0.5282333493232727,None,0.0
55,2,[1466.56494140625 961.3251953125 1979.0040283203125 1423.6982421875],car,[1650.277099609375 1288.02294921875 1795.919677734375 1335.83642578125],0.3576834499835968,WUGREU,0.01508714317336945
57,3,[718.869384765625 800.5162963867188 1145.7086181640625 1121.06103515625],car,[853.6190795898438 1002.2747802734375 997.1950073242188 1043.2698974609375],0.25325822830200195,GX15OGJ,0.7732676421854827
60,2,[1470.4620361328125 979.6187133789062 1991.251953125 1433.525146484375],car,[1659.913330078125 1317.754638671875 1805.160400390625 1364.052001953125],0.38565024733543396,MESV,0.24801494181156158
62,2,[1473.0921630859375 986.3121337890625 1996.00634765625 1434.6932373046875],car,[1664.605712890625 1329.1761474609375 1809.7421875 1376.3226318359375],0.44181695580482483,MISU,0.14756231009960175
67,3,[701.1651611328125 825.9725952148438 1140.970703125 1155.578369140625],car,[847.3299560546875 1031.3775634765625 991.3526611328125 1073.0384521484375],0.6368421912193298,GX15OGJ,0.6146863483990249
68,2,[1476.56103515625 1012.1365966796875 2020.240234375 1436.4453125],car,[1679.3375244140625 1369.6260986328125 1820.4627685546875 1411.0245361328125],0.3512212634086609,MVSNSV,0.0737896112658525
69,2,[1476.6046142578125 1017.6953125 2022.1256103515625 1436.21923828125],car,[1683.668212890625 1375.249267578125 1821.919677734375 1416.039306640625],0.3420838713645935,MU51NEV,0.042786128382921514
79,3,[677.5470581054688 862.3441162109375 1131.676025390625 1204.661865234375],car,[840.287841796875 1087.703125 974.218505859375 1123.48095703125],0.3344185948371887,GXISGJ,0.3411758520600379
89,3,[655.0872802734375 891.6190795898438 1126.614990234375 1251.5562744140625],car,[794.1397705078125 1125.0362548828125 963.5550537109375 1169.9591064453125],0.2613618075847626,GX15OGJ,0.2371714532316975
95,3,[639.100341796875 913.0181884765625 1122.7210693359375 1281.034423828125],car,[817.3763427734375 1154.772216796875 960.9927978515625 1196.46728515625],0.6384757161140442,GX15OGJ,0.2557517586124466
96,3,[637.0049438476562 921.8917846679688 1121.64990234375 1286.2969970703125],car,[797.2969970703125 1157.755615234375 956.5565185546875 1198.011962890625],0.58807772397995,GX15OGJ,0.5584706572727138
97,3,[636.931396484375 924.6986083984375 1121.728515625 1289.4906005859375],car,[809.4957885742188 1161.23046875 955.1007690429688 1200.6689453125],0.5258282423019409,GX15OGJ,0.6530789932682707
